scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_cubic_MCAR,NM+C_gelu_d3,0.42852587,4,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.43427962,4,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.457502,4,gaussian,cubic,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.038593173,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.61578405,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.64896554,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.66814744,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.20926952,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.6671404,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.6648387,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.69023657,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.023990154,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.527189,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.5625948,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.5839293,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.50464845,3,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.61157787,3,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.6140194,3,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.6248738,3,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.3520376,4,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.5980172,4,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.59552443,4,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.60500497,4,gaussian,interaction,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.037186623,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d3,-0.11152589,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM-Encoder_d3,-0.04413104,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP,-0.009955168,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.033520937,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d3,-0.117319584,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM-Encoder_d3,-0.023833036,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP,-0.010012031,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.018804193,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d3,-0.1045233,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM-Encoder_d3,-0.025077343,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP,-0.001288414,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.04669845,3,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d3,-0.13696206,3,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM-Encoder_d3,-0.04473567,3,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP,-0.0041166544,3,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.023475885,4,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d3,-0.16418278,4,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM-Encoder_d3,-0.045436263,4,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP,-0.009144068,4,gaussian,sinusoidal,MCAR,success
mixture_gaussian_linear_MCAR,NeuMiss_d5,0.5537298,0,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM+C_gelu_d3,0.62472475,0,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM-Encoder_d3,0.6598995,0,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,ImputeMLP,0.6754993,0,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NeuMiss_d5,0.6771829,1,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM+C_gelu_d3,0.755272,1,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM-Encoder_d3,0.7655755,1,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,ImputeMLP,0.7743519,1,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NeuMiss_d5,0.63467515,2,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM+C_gelu_d3,0.7138181,2,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM-Encoder_d3,0.72333604,2,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,ImputeMLP,0.7392501,2,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NeuMiss_d5,0.6239969,3,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM+C_gelu_d3,0.67450786,3,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM-Encoder_d3,0.6876151,3,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,ImputeMLP,0.7012651,3,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NeuMiss_d5,0.675914,4,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM+C_gelu_d3,0.71985656,4,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,NM-Encoder_d3,0.7555652,4,mixture_gaussian,linear,MCAR,success
mixture_gaussian_linear_MCAR,ImputeMLP,0.7712674,4,mixture_gaussian,linear,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.028121173,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d3,0.46354872,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM-Encoder_d3,0.5160669,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP,0.55768067,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.132007,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d3,0.6808791,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM-Encoder_d3,0.71714073,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP,0.7145723,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.27331513,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d3,0.6169807,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM-Encoder_d3,0.6655149,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP,0.6838474,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.01387918,3,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d3,0.47836912,3,mixture_gaussian,quadratic,MCAR,success
