scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d5,original,2,28.412066,26.970787,0.7780712,0.79009295,25.87728214263916,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_gelu_d3,A,0,9.565405,9.320078,0.83952326,0.8364368,23.6756489276886,140,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_gelu_d3,A,1,15.886008,15.226863,0.6832572,0.69750744,24.51963973045349,144,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_gelu_d3,A,2,29.9072,28.344576,0.7663926,0.77940106,31.638347148895264,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_relu_d3,A,0,9.248086,9.237035,0.84484684,0.8378942,15.92379117012024,103,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_relu_d3,A,1,16.048378,15.317199,0.6800198,0.69571286,28.41116189956665,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+A_relu_d3,A,2,29.63318,27.853495,0.768533,0.78322303,17.624764919281006,140,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_gelu_d3,B,0,9.725982,9.341163,0.8368293,0.8360668,26.442313194274902,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_gelu_d3,B,1,15.849849,15.296471,0.6839782,0.6961247,29.848514080047607,135,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_gelu_d3,B,2,29.076294,27.008713,0.7728829,0.7897978,31.91058087348938,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_relu_d3,B,0,9.91666,9.712749,0.8336303,0.8295456,23.678417921066284,109,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_relu_d3,B,1,16.297699,15.55075,0.6750487,0.6910732,27.270364999771118,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+B_relu_d3,B,2,29.356565,27.499641,0.77069366,0.785977,26.417948961257935,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+C_gelu_d3,C,0,9.425142,8.850815,0.8418764,0.8446722,12.261757373809814,66,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+C_gelu_d3,C,1,15.928039,14.688516,0.6824192,0.7082021,13.080474138259888,90,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+C_gelu_d3,C,2,29.5421,26.227425,0.76924443,0.79587835,18.446770906448364,111,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+D_gelu_d3,D,0,9.748287,8.699454,0.8364551,0.8473285,26.48568820953369,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+D_gelu_d3,D,1,16.030035,15.162034,0.68038553,0.6987953,28.789942026138306,148,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss+D_gelu_d3,D,2,29.99953,27.611393,0.7656714,0.78510725,20.086621046066284,123,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d1,original,0,10.605225,10.031911,0.8220784,0.82394445,14.893967151641846,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d1,original,1,11.4561,11.154195,0.77158284,0.7784139,9.678091049194336,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d1,original,2,22.352169,21.399263,0.82540554,0.8334547,9.765828847885132,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d3,original,0,10.020787,9.186252,0.83188343,0.8387854,17.969975233078003,149,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d3,original,1,13.173842,13.011432,0.73733366,0.74151856,16.32962703704834,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d3,original,2,21.716349,20.179537,0.830372,0.8429476,21.237855911254883,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d5,original,0,10.170477,8.982992,0.8293721,0.8423525,23.939085245132446,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d5,original,1,10.966652,10.200244,0.7813417,0.79736483,15.882920026779175,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss_d5,original,2,21.887375,19.483847,0.82903606,0.84836197,18.593915939331055,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_gelu_d3,A,0,11.212413,9.948189,0.81189173,0.82541376,30.351356267929077,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_gelu_d3,A,1,11.561205,10.758664,0.7694872,0.7862714,27.4480299949646,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_gelu_d3,A,2,23.174213,20.938585,0.8189845,0.83704007,21.430320024490356,147,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_relu_d3,A,0,10.442605,9.290458,0.8248067,0.8369566,29.606268167495728,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_relu_d3,A,1,12.372408,11.546415,0.75331306,0.77062213,31.64452815055847,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+A_relu_d3,A,2,24.093159,21.152859,0.8118065,0.83537245,27.385683059692383,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+B_gelu_d3,B,0,10.767066,9.376296,0.81936324,0.83545023,29.733111143112183,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+B_gelu_d3,B,1,11.920663,11.034525,0.76232016,0.7807912,28.36139488220215,150,success
gaussian_linear_MNAR_selfmasking,gaussian,linear,MNAR_selfmasking,NeuMiss+B_gelu_d3,B,2,22.751366,20.244041,0.8222874,0.84244555,54.2752411365509,150,success
