scenario,method,r2_test,seed
gaussian_interaction_MCAR,Hybrid_d5_ef4,0.4644251,2
mixture_gaussian_quadratic_MCAR,NeuMiss_d3,-0.024741769,0
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,-0.012786746,0
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.25309217,0
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.30694026,0
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.19699556,0
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.3276015,0
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.30183643,0
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.3244223,0
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.30829793,0
mixture_gaussian_quadratic_MCAR,NeuMiss_d3,0.09906834,1
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.07985598,1
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.5035436,1
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.6104845,1
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.6219406,1
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.5864476,1
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.4567505,1
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.54678905,1
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.58337516,1
mixture_gaussian_quadratic_MCAR,NeuMiss_d3,0.32061136,2
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.2827165,2
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.5239711,2
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.5270752,2
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.55602324,2
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.54804254,2
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.54423726,2
mixture_gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.60453695,2
mixture_gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.48357898,2
mixture_gaussian_cubic_MCAR,NeuMiss_d3,0.31245828,0
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.2920829,0
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.33891428,0
mixture_gaussian_cubic_MCAR,Hybrid_d3_ef2,0.3177504,0
mixture_gaussian_cubic_MCAR,Hybrid_d5_ef2,0.3294351,0
