scenario,model,seed,r2,mse
gaussian_cubic_MCAR,MultiImpute_K10,456,0.6297562,8.774188995361328
gaussian_cubic_MCAR,Oracle_SuffStat,456,0.74995697,5.925622463226318
gaussian_cubic_MCAR,Oracle_MultiImp,456,0.7762685,5.302082538604736
gaussian_interaction_MCAR,NeuMiss_orig,42,0.073792756,191.28054809570312
gaussian_interaction_MCAR,ImputeMLP,42,0.53866166,95.27571105957031
gaussian_interaction_MCAR,PretrainEncoder,42,0.56033504,90.79972076416016
gaussian_interaction_MCAR,SuffStat_NeuMiss,42,0.53536737,95.95603942871094
gaussian_interaction_MCAR,MultiImpute_K5,42,0.48785502,105.768310546875
gaussian_interaction_MCAR,MultiImpute_K10,42,0.4803679,107.31454467773438
gaussian_interaction_MCAR,Oracle_SuffStat,42,0.6535717,71.54444885253906
gaussian_interaction_MCAR,Oracle_MultiImp,42,0.656109,71.02045440673828
gaussian_interaction_MCAR,NeuMiss_orig,123,0.107663095,388.685791015625
gaussian_interaction_MCAR,ImputeMLP,123,0.6103122,169.74093627929688
gaussian_interaction_MCAR,PretrainEncoder,123,0.634549,159.183837890625
gaussian_interaction_MCAR,SuffStat_NeuMiss,123,0.5986712,174.81153869628906
gaussian_interaction_MCAR,MultiImpute_K5,123,0.5526259,194.86805725097656
gaussian_interaction_MCAR,MultiImpute_K10,123,0.5697714,187.39976501464844
gaussian_interaction_MCAR,Oracle_SuffStat,123,0.71235687,125.2921371459961
gaussian_interaction_MCAR,Oracle_MultiImp,123,0.7091063,126.70800018310547
gaussian_interaction_MCAR,NeuMiss_orig,456,0.23935288,213.71331787109375
gaussian_interaction_MCAR,ImputeMLP,456,0.7238691,77.58242797851562
gaussian_interaction_MCAR,PretrainEncoder,456,0.733461,74.887451171875
gaussian_interaction_MCAR,SuffStat_NeuMiss,456,0.7266369,76.80477905273438
gaussian_interaction_MCAR,MultiImpute_K5,456,0.7006006,84.11998748779297
gaussian_interaction_MCAR,MultiImpute_K10,456,0.69471097,85.77477264404297
gaussian_interaction_MCAR,Oracle_SuffStat,456,0.7727736,63.84208297729492
gaussian_interaction_MCAR,Oracle_MultiImp,456,0.77608603,62.91142654418945
