scenario,distribution,response,missing_mechanism,method,seed,r2_test,mse_test,time_s,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_orig_d3,2,-0.13865288806388953,37861.671875,2.2797510623931885,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,2,0.4881791458013429,17018.701171875,4.206135034561157,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,ImputeMLP,2,0.6553400661558076,11460.3857421875,3.488823175430298,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,PretrainEnc_d3,2,0.6050566478339829,13132.3740234375,10.354750394821167,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_128,2,0.4755424161824572,17438.888671875,5.9360129833221436,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d5_128,2,0.4603295408342417,17944.736328125,7.838985919952393,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_256_128,2,0.6568716681415862,11409.4580078125,3.935971975326538,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,SuffStat_d3,2,0.5466601149932058,15074.1337890625,3.972809076309204,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,0,0.48229668619275845,18.245771408081055,1.4746589660644531,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,0,0.597419936529378,14.188404083251953,1.7520487308502197,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,0,0.7282437232923329,9.577692031860352,1.739307165145874,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,0,0.6503017668731843,12.324653625488281,7.2014100551605225,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,0,0.6675169283855689,11.717927932739258,3.842517852783203,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,0,0.6599169329315548,11.985779762268066,4.5890069007873535,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,0,0.6991389686240383,10.603450775146484,1.9104828834533691,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,0,0.6809884975733094,11.24314022064209,2.1007087230682373,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,1,0.35962869614611015,41.65505599975586,1.27150297164917,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,1,0.4412542843902698,36.34545135498047,2.1082568168640137,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,1,0.5405095455564262,29.889066696166992,1.8719398975372314,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,1,0.48447790754150033,33.53382873535156,4.415238857269287,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,1,0.4696945546269069,34.495460510253906,1.8935167789459229,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,1,0.48760791831207306,33.33022689819336,2.580740213394165,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,1,0.4835174933547455,33.5963020324707,2.510427713394165,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,1,0.44653764733300183,36.00177764892578,1.7889020442962646,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,2,0.44279865875942737,14.610605239868164,1.2800850868225098,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,2,0.48056576685437735,13.620298385620117,1.5542030334472656,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,2,0.6693457338754606,8.670221328735352,1.1749060153961182,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,2,0.5682636590856669,11.320735931396484,4.585496664047241,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,2,0.6246954098291255,9.841015815734863,2.7705347537994385,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,2,0.5442856414416772,11.94947338104248,2.9242539405822754,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,2,0.6174329996186235,10.03144645690918,2.0061471462249756,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,2,0.5950923257643114,10.617250442504883,1.331861972808838,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_orig_d3,0,-0.013723336993084256,1188.3985595703125,1.4916071891784668,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM+C_gelu_d3,0,0.424987462992921,674.09326171875,2.24652099609375,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,ImputeMLP,0,0.5869564311930733,484.21533203125,4.219327926635742,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,PretrainEnc_d3,0,0.5700766631735206,504.003662109375,8.708614826202393,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_128,0,0.5756888481447728,497.4244384765625,5.362002849578857,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d5_128,0,0.5071164175648051,577.8126220703125,5.200130939483643,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_256_128,0,0.5785717350051565,494.0447998046875,3.1579270362854004,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,SuffStat_d3,0,0.4553746066045453,638.4700927734375,3.2389659881591797,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_orig_d3,1,0.1434668958483627,424.4062194824219,0.8549771308898926,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM+C_gelu_d3,1,0.4402215108266241,277.3663635253906,1.9895389080047607,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,ImputeMLP,1,0.6181881026343597,189.18515014648438,3.7753751277923584,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,PretrainEnc_d3,1,0.5949196791365924,200.71449279785156,7.130055904388428,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_128,1,0.5737860993968029,211.18603515625,3.4716720581054688,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d5_128,1,0.5623565060967952,216.8493194580078,3.2318389415740967,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_256_128,1,0.5627954603251464,216.63182067871094,4.3949151039123535,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,SuffStat_d3,1,0.5539067449840995,221.03611755371094,1.4625720977783203,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_orig_d3,2,-0.005273020018594865,366.2322692871094,0.531965970993042,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM+C_gelu_d3,2,0.3616494011309165,232.5583038330078,2.2111501693725586,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,ImputeMLP,2,0.4653777332095468,194.76890563964844,1.500793695449829,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,PretrainEnc_d3,2,0.4731737158866859,191.92874145507812,4.448440074920654,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_128,2,0.4567133290014175,197.92544555664062,2.936500072479248,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d5_128,2,0.38194204251705366,225.16546630859375,3.509937047958374,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_256_128,2,0.45179766272558375,199.71627807617188,4.156232118606567,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,SuffStat_d3,2,0.38629039087848294,223.58131408691406,1.8022031784057617,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NeuMiss_orig_d3,0,0.5196285689692269,29.016544342041016,1.2629446983337402,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM+C_gelu_d3,0,0.515315558936608,29.277069091796875,1.7526001930236816,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,ImputeMLP,0,0.6023292022450261,24.02106285095215,1.74489426612854,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,PretrainEnc_d3,0,0.575904903228357,25.617206573486328,3.6295950412750244,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_128,0,0.5823875856042025,25.225624084472656,1.7314560413360596,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d5_128,0,0.5867102579918254,24.964515686035156,1.9498870372772217,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_256_128,0,0.590292907660915,24.74810791015625,2.0672240257263184,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,SuffStat_d3,0,0.5649248050904065,26.280452728271484,1.5127592086791992,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NeuMiss_orig_d3,1,0.5599689807184154,29.858078002929688,1.5751769542694092,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM+C_gelu_d3,1,0.6374350771316226,24.601655960083008,1.8348791599273682,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,ImputeMLP,1,0.7196306638888585,19.024316787719727,1.6985867023468018,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,PretrainEnc_d3,1,0.6849124667760984,21.380102157592773,3.4397470951080322,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_128,1,0.6918649887680473,20.908342361450195,2.1229088306427,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d5_128,1,0.6768832986669512,21.924917221069336,2.478424072265625,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_256_128,1,0.704648917568969,20.040895462036133,1.7300548553466797,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,SuffStat_d3,1,0.7010205004079798,20.287099838256836,1.567490816116333,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NeuMiss_orig_d3,2,0.46402557735787076,47.49799346923828,1.5994348526000977,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM+C_gelu_d3,2,0.5837628424429039,36.88689041137695,1.8079919815063477,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,ImputeMLP,2,0.6586794889211789,30.247785568237305,1.9393737316131592,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,PretrainEnc_d3,2,0.6489855742103756,31.10685920715332,4.520558834075928,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d3_128,2,0.6406936550596758,31.84168815612793,2.270786762237549,success
mixture_gaussian_linear_MCAR,mixture_gaussian,linear,MCAR,NM-NL_d5_128,2,0.6044828474430821,35.05068588256836,4.413270950317383,success
