scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d5,original,0,13.306529,14.47343,0.5264799,0.558598,11.792500972747803,78,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d5,original,1,33.955944,33.188034,0.42763466,0.51169544,10.380035161972046,75,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d2,D,0,11.263625,10.642457,0.5991777,0.6754327,20.896992921829224,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d2,D,1,25.791046,21.633917,0.56526315,0.68169427,35.06466603279114,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d2,D,0,11.5564375,10.838316,0.5887579,0.66945946,22.178727865219116,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d2,D,1,23.404902,19.71775,0.60548425,0.7098874,17.17372226715088,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d2,D,0,10.469153,10.501462,0.62744945,0.6797327,18.482619047164917,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d2,D,1,24.20252,21.52433,0.59203947,0.6833067,16.368757724761963,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d3,D,0,13.388917,11.388306,0.5235481,0.65268624,18.204557180404663,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d3,D,1,25.545685,22.0103,0.569399,0.6761565,16.11670684814453,89,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d3,D,0,11.754059,10.49571,0.58172536,0.6799081,17.444519758224487,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d3,D,1,24.894218,20.754831,0.58038014,0.69462854,18.62723994255066,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d3,D,0,11.436477,11.254475,0.59302676,0.6567677,19.025736093521118,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d3,D,1,23.65026,20.832554,0.6013484,0.693485,18.123591899871826,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d5,D,0,12.854974,11.234573,0.5425488,0.6573747,22.32416319847107,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d5,D,1,27.057655,24.430885,0.543913,0.6405418,23.08715009689331,87,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d5,D,0,12.457568,9.890765,0.55669063,0.69835734,23.113996028900146,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d5,D,1,28.162258,24.111988,0.5252937,0.64523375,17.286672115325928,76,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d5,D,0,11.133146,10.575287,0.6038209,0.6774812,22.349056005477905,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d5,D,1,26.096537,21.730204,0.5601137,0.6802776,20.850268840789795,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d7,D,0,13.221697,11.002598,0.5294987,0.66444933,24.579187870025635,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d7,D,1,26.196947,22.43891,0.5584212,0.66985023,21.65263605117798,94,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d7,D,0,13.718696,13.731146,0.5118127,0.5812357,16.64529585838318,74,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_relu_d7,D,1,28.533882,23.670382,0.51902956,0.65173125,23.960408926010132,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d7,D,0,11.422592,9.9797945,0.5935208,0.6956422,23.285120010375977,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_tanh_d7,D,1,27.965214,20.886171,0.5286151,0.6926961,25.01747703552246,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d3,A,0,11.2094345,11.3094845,0.60110617,0.6550901,13.786309957504272,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d3,A,1,24.18087,22.457657,0.5924044,0.6695744,13.368653059005737,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d5,A,0,12.715339,11.338609,0.5475178,0.65420187,15.623226165771484,100,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d5,A,1,26.378145,23.910921,0.5553669,0.64819217,17.347339153289795,100,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_d3,original,0,1022.68585,1100.4896,0.056527674,0.071652055,4.549761056900024,39,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_d3,original,1,456.00095,385.13718,0.1784777,0.27307546,9.554447174072266,79,success
